"","namesOLD","sampleType","CultureName","SampleDateOld","SampleDateNew","simpleNames","namesNew","order"
"34","FSK_101_75","FSK","101","75","1975","starter 1","FSK RMK101
1975",1
"4","Lyo_101_76_4_7","Lyo","101","76_4_7","1976 Apr 7","starter 2","Lyo RMK101
1976 Apr 7",2
"2","Lyo_101_77","Lyo","101","77","1977","starter 3","Lyo RMK101
1977",3
"1","Lyo_101_02_7","Lyo","101","02_7","2002 Jul","starter 4","Lyo RMK101
2002 Jul",4
"16","Lyo_101_10_2","Lyo","101","10_2","2010 Feb","starter 5","Lyo RMK101
2010 Feb",5
"27","Lyo_101_16","Lyo","101","16","2016","starter 6","Lyo RMK101
2016",6
"8","ws_101_19","Ws","101","19","2019","starter 7","Ws RMK101
2019",7
"20","FSK_105_75","FSK","105","75","1975","starter 1","FSK RMK105
1975",8
"43","Lyo_105_76_4_1","Lyo","105","76_4_1","1976 Apr 1","starter 2","Lyo RMK105
1976 Apr 1",9
"39","Lyo_105_76_4_2","Lyo","105","76_4_2","1976 Apr 2","starter 3","Lyo RMK105
1976 Apr 2",10
"7","FSK_105_76_4_6","FSK","105","76_4_6","1976 Apr 6","starter 4","FSK RMK105
1976 Apr 6",11
"38","Lyo_105_76_2","Lyo","105","76_2","1976 Feb","starter 5","Lyo RMK105
1976 Feb",12
"46","Lyo_105_76_1","Lyo","105","76_1","1976 Jan","starter 6","Lyo RMK105
1976 Jan",13
"35","Lyo_105_76_5_11","Lyo","105","76_5_11","1976 Mai 11","starter 7","Lyo RMK105
1976 Mai 11",14
"41","Lyo_105_76_5_13","Lyo","105","76_5_13","1976 Mai 13","starter 8","Lyo RMK105
1976 Mai 13",15
"17","Lyo_105_76_5_12","Lyo","105","76_5_12","1976 Mar 12","starter 9","Lyo RMK105
1976 Mar 12",16
"3","Lyo_105_76_3_31","Lyo","105","76_3_31","1976 Mar 31","starter 10","Lyo RMK105
1976 Mar 31",17
"10","Lyo_105_11_5","Lyo","105","11_5","2011 Mar","starter 11","Lyo RMK105
2011 Mar",18
"24","Ws_105_19","Ws","105","19","2019","starter 12","Ws RMK105
2019",19
"32","Lyo_115_09","Lyo","115","09","2009","starter 1","Lyo RMK115
2009",20
"33","Ws_115_19","Ws","115","19","2019","starter 2","Ws RMK115
2019",21
"5","FSK_124_75_4","FSK","124","75_4","1975 Apr","starter 1","FSK RMK124
1975 Apr",22
"28","Lyo_124_08","Lyo","124","08","2008","starter 2","Lyo RMK124
2008",23
"21","Ws_124_19","Ws","124","19","2019","starter 3","Ws RMK124
2019",24
"45","Lyo_150_76_4","Lyo","150","76_4","1976 Apr","starter 1","Lyo RMK150
1976 Apr",25
"36","Lyo_150_76_11","Lyo","150","76_11","1976 Nov","starter 2","Lyo RMK150
1976 Nov",26
"6","Lyo_150_11_3_11","Lyo","150","11_3_11","2011 Mar 11","starter 3","Lyo RMK150
2011 Mar 11",27
"30","Lyo_150_14_10","Lyo","150","14_10","2014 Oct","starter 4","Lyo RMK150
2014 Oct",28
"29","Lyo_150_18","Lyo","150","18","2018","starter 5","Lyo RMK150
2018",29
"22","Ws_150_19","Ws","150","19","2019","starter 6","Ws RMK150
2019",30
"31","Lyo_190_95_3","Lyo","190","95_3","1995 Apr","starter 1","Lyo RMK190
1995 Apr",31
"15","Lyo_190_17","Lyo","190","17","2017","starter 2","Lyo RMK190
2017",32
"23","Ws_190_19","Ws","190","19","2019","starter 3","Ws RMK190
2019",33
"52","Lyo_202_96","Lyo","202","96","1996","starter 1","Lyo RMK202
1996",34
"48","Lyo_202_12","Lyo","202","12","2012","starter 2","Lyo RMK202
2012",35
"49","Lyo_202_14","Lyo","202","14","2014","starter 3","Lyo RMK202
2014",36
"50","S_202_14","S","202","14","2014","starter 4","S RMK202
2014",37
"47","Ws_202_18","Ws","202","18","2018","starter 5","Ws RMK202
2018",38
"51","S_202_18","S","202","18","2018","starter 6","S RMK202
2018",39
"54","C_202_18_02","C","202","18_02","2018 Feb","starter 7","C RMK202
2018 Feb",40
"53","C_202_18_01","C","202","18_01","2018 Jan","starter 8","C RMK202
2018 Jan",41
"40","Lyo_203_77","Lyo","203","77","1977","starter 1","Lyo RMK203
1977",42
"37","Lyo_203_96_1","Lyo","203","96_1","1996 Jan","starter 2","Lyo RMK203
1996 Jan",43
"13","Lyo_203_16","Lyo","203","16","2016","starter 3","Lyo RMK203
2016",44
"18","Ws_203_19","Ws","203","19","2019","starter 4","Ws RMK203
2019",45
"25","Lyo_280_16","Lyo","280","16","2016","starter 1","Lyo RMK280
2016",46
"42","Lyo_280_16_4","Lyo","280","16_4","2016 Apr","starter 2","Lyo RMK280
2016 Apr",47
"19","Ws_280_19","Ws","280","19","2019","starter 3","Ws RMK280
2019",48
"14","Lyo_302_13","Lyo","302","13","2013","starter 1","Lyo RMK302
2013",49
"11","Ws_302_19","Ws","302","19","2019","starter 2","Ws RMK302
2019",50
"44","FSK_305_76","FSK","305","76","1976","starter 1","FSK RMK305
1976",51
"26","Lyo_305_96_1","Lyo","305","96_1","1996 Jan","starter 2","Lyo RMK305
1996 Jan",52
"9","Lyo_305_17","Lyo","305","17","2017","starter 3","Lyo RMK305
2017",53
"12","Ws_305_19","Ws","305","19","2019","starter 4","Ws RMK305
2019",54
